nro de LU,materia,fecha,nota
999/77,Ingeniería de Software,26/09/2023,4.01
321/87,Introducción a la Computación,23/06/2023,9.25
666/44,Algoritmos y Estructuras de Datos,28/09/2023,3.04
555/44,Algoritmos y Estructuras de Datos,26/02/2024,5.74
111/99,Redes de Computadoras,04/02/2024,2.09
333/55,Programación Orientada a Objetos,17/03/2024,8.5
456/78,Algoritmos y Estructuras de Datos,13/02/2024,2.86
555/11,Ingeniería de Software,10/02/2024,1.64
888/22,Ingeniería de Software,13/06/2023,4.3
999/77,Algoritmos y Estructuras de Datos,26/01/2024,9.75
123/45,Programación Orientada a Objetos,06/09/2023,9.63
999/22,Introducción a la Computación,06/05/2024,2.1
789/54,Ingeniería de Software,13/08/2023,5.49
321/87,Programación Orientada a Objetos,15/06/2023,9.89
987/32,Programación Orientada a Objetos,12/08/2023,3.06
222/88,Programación Orientada a Objetos,02/11/2023,4.55
111/99,Ingeniería de Software,12/05/2024,9.49
999/22,Programación Orientada a Objetos,23/09/2023,3.75
999/77,Introducción a la Computación,30/10/2023,4.06
777/33,Redes de Computadoras,27/07/2023,7.77
111/66,Redes de Computadoras,29/08/2023,9.3
999/22,Ingeniería de Software,11/09/2023,3.77
321/87,Algoritmos y Estructuras de Datos,30/03/2024,9.71
987/32,Introducción a la Computación,05/12/2023,9.07
444/33,Redes de Computadoras,29/05/2023,3.21
666/44,Ingeniería de Software,30/09/2023,9.75
123/45,Algoritmos y Estructuras de Datos,30/08/2023,7.72
222/99,Ingeniería de Software,17/03/2024,5.62
333/55,Ingeniería de Software,04/02/2024,2.7
999/22,Algoritmos y Estructuras de Datos,18/03/2024,7.97
111/66,Introducción a la Computación,07/05/2024,5.78
666/44,Redes de Computadoras,16/01/2024,6.82
789/54,Redes de Computadoras,20/11/2023,5.24
777/66,Algoritmos y Estructuras de Datos,22/12/2023,3.94
555/44,Introducción a la Computación,24/09/2023,5.35
123/45,Introducción a la Computación,14/02/2024,5.68
789/54,Algoritmos y Estructuras de Datos,17/06/2023,7.69
777/33,Introducción a la Computación,31/03/2024,2.47
654/21,Algoritmos y Estructuras de Datos,11/09/2023,2.66
555/44,Programación Orientada a Objetos,23/03/2024,1.81
111/66,Algoritmos y Estructuras de Datos,18/01/2024,9.21
654/21,Programación Orientada a Objetos,16/10/2023,9.89
555/11,Introducción a la Computación,18/08/2023,2.04
555/11,Algoritmos y Estructuras de Datos,24/02/2024,1.85
222/99,Redes de Computadoras,20/07/2023,5.85
444/33,Introducción a la Computación,04/12/2023,4.54
321/87,Redes de Computadoras,03/05/2024,4.51
654/21,Ingeniería de Software,31/03/2024,3.48
444/33,Ingeniería de Software,26/11/2023,2.91
654/21,Redes de Computadoras,01/03/2024,5.18
777/66,Programación Orientada a Objetos,22/01/2024,1.65
555/44,Redes de Computadoras,02/01/2024,5.06
222/99,Introducción a la Computación,20/12/2023,9.48
987/32,Redes de Computadoras,07/07/2023,4.19
111/99,Introducción a la Computación,06/07/2023,9.07
666/44,Ingeniería de Software,19/04/2024,7.44
888/22,Programación Orientada a Objetos,19/08/2023,5.8
222/88,Algoritmos y Estructuras de Datos,06/07/2023,7.26
333/55,Algoritmos y Estructuras de Datos,31/05/2023,3.7
456/78,Ingeniería de Software,25/03/2024,7.25
999/77,Programación Orientada a Objetos,11/11/2023,4.29
888/22,Algoritmos y Estructuras de Datos,26/07/2023,4.27
321/87,Ingeniería de Software,10/05/2024,4.01
